#LINK
#lang	ja
#attribution_url	https://ja.wikipedia.org/wiki/%E7%99%BE%E4%BA%BA%E4%B8%80%E9%A6%96
#attribution_name	小雀
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	hyakuninisshu_data
#download_from	http://linkdata.org/work/rdf1s5297i
#property	上の句	上の句カナ	下の句	下の句カナ	作者
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
1	秋の田の かりほの庵の 苫をあらみ	アキノタノ　カリオノイオノ　トマオアラミ	わが衣手は 露にぬれつつ	ワガコロモデワ　ツユニヌレツツ	天智天皇
2	春すぎて 夏来にけらし 白妙の	ハルスギテ　ナツキニケラシ　シロタエノ	衣ほすてふ 天の香具山	コロモホスチョー　アマノカグヤマ	持統天皇
3	あしびきの 山鳥の尾の しだり尾の	アシビキノ　ヤマドリノオノ　シダリオノ	ながながし夜を ひとりかも寝む	ナガナガシヨオ　ヒトリカモネン	柿本人麻呂
4	田子の浦に　うち出でてみれば　白妙の	タゴノウラニ　ウチイデテミレバ　シロタエノ	富士の高嶺に　雪は降りつつ	フジノタカネニ　ユキワフリツツ	山部赤人
5	奥山に　紅葉踏みわけ　鳴く鹿の	オクヤマニ　モミジフミワケ　ナクシカノ	声きく時ぞ　秋は悲しき	コエキクトキゾ　アキワカナシキ	猿丸大夫
6	かささぎの　渡せる橋に　おく霜の	カササギノ　ワタセルハシニ　オクシモノ	白きをみれば　夜ぞふけにける	シロキオミレバ　ヨゾフケニケル	中納言家持
7	天の原　ふりさけ見れば　春日なる	アマノハラ　フリサケミレバ　カスガナル	三笠の山に　出でし月かも	ミカサノヤマニ　イデシツキカモ	安倍仲麿
8	わが庵は　都のたつみ　しかぞすむ	ワガイオワ　ミヤコノタツミ　シカゾスム	世をうぢ山と　人はいふなり	ヨオウジヤマト　ヒトワユーナリ	喜撰法師
9	花の色は　うつりにけりな　いたづらに	ハナノイロワ　ウツリニケリナ　イタズラニ	わが身世にふる　ながめせしまに	ワガミヨニフル　ナガメセシマニ	小野小町
10	これやこの　行くも帰るも　別れては	コレヤコノ　ユクモカエルモ　ワカレテワ	知るも知らぬも　逢坂の関	シルモシラヌモ　オーサカノセキ	蝉丸
11	わたの原　八十島かけて　漕ぎ出でぬと	ワタノハラ　ヤソシマカケテ　コギイデヌト	人には告げよ　海人の釣舟	ヒトニワツゲヨ　アマノツリブネ	参議篁
12	天つ風　雲の通ひ路　吹き閉ぢよ	アマツカゼ　クモノカヨイジ　フキトジヨ	をとめの姿　しばしとどめむ	オトメノスガタ　シバシトドメン	僧正遍照
13	筑波嶺の　峰より落つる　男女川	ツクバネノ　ミネヨリオツル　ミナノガワ	恋ぞつもりて　淵となりぬる	コイゾツモリテ　フチトナリヌル	陽成院
14	陸奥の　しのぶもぢずり　誰ゆゑに	ミチノクノ　シノブモジズリ　タレユエニ	乱れそめにし　われならなくに	ミダレソメニシ　ワレナラナクニ	河原左大臣
15	君がため　春の野に出でて　若菜つむ	キミガタメ　ハルノノニイデテ　ワカナツム	わが衣手に　雪は降りつつ	ワガコロモデニ　ユキワフリツツ	光孝天皇
16	たち別れ　いなばの山の　峰に生ふる	タチワカレ　イナバノヤマノ　ミネニオール	まつとし聞かば　今帰り来む	マツトシキカバ　イマカエリコン	中納言行平
17	ちはやぶる　神代も聞かず　竜田川	チハヤブル　カミヨモキカズ　タツタガワ	からくれなゐに　水くくるとは	カラクレナイニ　ミズククルトワ	在原業平朝臣
18	住の江の　岸による波　よるさへや	スミノエノ　キシニヨルナミ　ヨルサエヤ	夢の通ひ路　人めよくらむ	ユメノカヨイジ　ヒトメヨクラン	藤原敏行朝臣
19	難波潟　みじかき芦の　ふしの間も	ナニワガタ　ミジカキアシノ　フシノマモ	逢はでこの世を　過ぐしてよとや	アワデコノヨオ　スグシテヨトヤ	伊勢
20	わびぬれば　今はた同じ　難波なる	ワビヌレバ　イマハタオナジ　ナニワナル	みをつくしても　逢はむとぞ思ふ	ミオツクシテモ　アワントゾオモー	元良親王
21	今来むと　言ひしばかりに　長月の	イマコント　イイシバカリニ　ナガツキノ	有明の月を　待ち出でつるかな	アリアケノツキオ　マチイデツルカナ	素性法師
22	吹くからに　秋の草木の　しをるれば	フクカラニ　アキノクサキノ　シオルレバ	むべ山風を　嵐といふらむ	ムベヤマカゼオ　アラシトユーラン	文屋康秀
23	月見れば　ちぢにものこそ　悲しけれ	ツキミレバ　チジニモノコソ　カナシケレ	わが身一つの　秋にはあらねど	ワガミヒトツノ　アキニワアラネド	大江千里
